content;Labels
Aplikasi lemot amat. Tranfer sesama tidak bisa. Lalu buat apa?? Suruh top up doang. Tolong segera lah di upgrade biar pelanggan puas.;Negative
Ini gimana ga bisa buat apa apa saldo, jaringan bagus dan sudah premium transfer tidak berhasil terus tolong dibantu dong;Negative
Cepat dan praktis;Positive
Aplikasi sangat tidak di rekomendasikan Pembayaran gagal saldonya ikut habis,tidak masuk nalar;Negative
Saldo saya terpotong, transaksi dalam proses!!! Gimana cerita nya itu,, apa begini sistem dompet digital nyari untung;Negative
Saya tidak dapat daftar menggunakan email saya sudah saya coba berkali-kali tulisannya gagal memproses;Negative
Selalu menampilkan promo, tapi setelah top-up ovo, pas pembayaran promo sudah habis kuotanya. Kalau udh habis ga usah ditampilkan lah promonya. Cancel pembayaran trus mau tarik dana dari ovo juga bayar biaya admin lagi.;Negative
Aplikasi kaya taii selalu minta update google play servis padahal sudah update akhirnya tidak bisa login untuk transfer;Negative
Saya hampir 30 kali untuk merubah ke ovo primer susah banget padahal hanya salah ketik di ektp saja;Negative
Buka apk kok lambat kyk gni!!! Sinyal full, kuota banyak.. Segera perbaiki;Negative
Gabisa masuk masuk padahal kuota masih ada jaringan aman tapi napa ga bisa masuk baru juga ngisi saldo;Negative
Akun saya diblokir karna salah memasukan kode di hp lain tapi sudah saya hubungi cs dan sama saja mereka tidak bisa membantu dan selalu gagal;Negative
"Aplikasi terblokir sendiri.. telp call center ny... Disuruh tunggu lama... Trus setelah verifikasi data. Katany ada yg ga pas. Mana pada inget sih nominal, tanggal transaksi, setoran dan jumlah saldo secara detail... Buang"" pulsa dan waktu aja...";Negative
Ribed/ menjengkelkan,ega bisa ugrade sekali dua kali, mening keluar banyak yg lanin, bikin pusing. unistal lagi;Negative
Aplikasi aneh masa mau transfer ke bang harus upgrade dulu;Negative
Kenapa aplikasi ny sangat lambat ya? Sudah di uninstall ttp sj ga guna;Negative
Ovo kenapa ya sekarang loadingnya kelamaan, saya mau login tapi lama banget bisa sampe berhari hari dan butuh kesabaran ekstra padahal jaringannya lancar. Sedikit kecewa sama ovo sekarang;Negative
Mantap om banget gampang gampang gampang.....;Positive
Buruk. Mau verifikasi ke premium gara-gara foto terbaru dan foto KTP gak sama. Padahal orang yg sama. Tau sendiri kan foto pas bikin KTP udah beberapa tahun yang lalu? Banyak wajah berubah. Lantas harus sama persis sama foto KTP gitu? Mana bisa?;Negative
aplikasinya parah bgt sih, buat upgrade ke premium aja di persulit, mana di ovo ada saldonya gimana saya bisa tarik itu duit kalo gabisa upgrade ke premium? di perbaiki lagi, kendala mitra ovo hampir semuanya sama, jangan nama doang yang besar tapi pelayanan NOLâ— besar .;Negative
aplikasi ga guna.kirain bagus udh daftar isi saldo,eh pas mau transfer gagal terus,gimana ini pihak ovo solusinya;Negative
Baguss dan tidak begitu sulitt,terimakasih APL ny memudah kan urusan saya.;Positive
Habis tf tp saldo tidak masuk, chat pusat bantuan cuman suruh nunggu 2 hari, aplikasi yg tidak aman, merugikan, penyelesaian lambat.sangat sangat merugikan;Negative
Saldo saya hilang secara tiba tiba, toup saldo ovo, lewat mandiri masuk, cuman saya mau transfer ke orang lain history bahwa transaksi berhasil tidak ada, bahkan saldo di akun tidak ada hilang, dan saya tanya ke penerima uang belum masuk di cek di transaksi tidak ada uang yg keluar... Dari akun ovo saya, mulai detik ini mohon maaf saya tidak akan menggunakan apk ovo lagi untuk bertransaksi.;Negative
Sangat mudah dan cepat untuk mendapatkan hasil maksimal.pokoknya saya puas pakai ovo;Positive
Upgrade premier gak bisa-bisa, padahal udah top up karna mau transfer ke rekening, jadi gak bisa dikirim dananya.. Katanya 1x24 jam sampai sekarang gak bisa..;Negative
Lama bangat ini verifikasi akun.. Udah lbh dr 1x24 jam lebih msh blum bisa juga..;Negative
Mohon bantuannya proses upgrade disegerakan agar bisa saya gunakan karena sudah menunggu 1x24 jam;Neutral
ini apanya seh, login aja kaga bisa. aktifitas mencurigakan, udah nunggu sebulan.. dulu pertama beli hape bisa buat login, trus logout ini udah sebulan kaga bisa login... AKTIFITAS MENCURIGAKAN.. mbuh lah BCA, DANA, LINKAJA, MANDIRI, aman aja.. ini kok riweh;Negative
Mudah dan lancar;Positive
Makin hari makin aneh performanya gk bisa buat transaksi, setiap kali mau transaksi pasti aja gagal,pake barkot salah pake nomer gk valid, padahal sinyal bagus udh di coba berapapun masih tetep gagal, tolonglah klo udh gk niat, setidaknya balikin saldonya aja, kecewa banget;Negative
Apk ini sudah bagus;Positive
Tolong lah iklan gak usah bikin hp gak yaman buka apa aja iklan muncul trus;Negative
Salam bosku .sy sll gagal verifikasi akun .. Mf bosku .. tolong hapus data saya dan dan saya akan coba verifikasi lagi .. sudah brapa kal di coba sll gagal.. ah ini udah berapa kali aja .. smua data sudah benar tp teyap aja gk bisa masuk .. masalahnya hy verifikasi akun dan itu sudah sy lakukan ber ulang ulang ..tetap aja gk bisa .. aneh banget sih;Negative
gak jelas, aplikasinya gak terbuka buka. sudah 2 hari;Negative
Sangat buruk ada saldo tidak bisa tf,buat apa isi saldo kalau tdk bisa digunakan;Negative
Ovo paling aneh banget,, terlalu banyak ngambil keuntungan tapi banyak gak bisanya.. mau top up 100.000 aja harus top up 2x , setiap top up di alfamart kepotong 1.500, saldo top up jadi gak genap,.. mending bayar kasir aja 2.000 buat biaya adminnya, yang penting saldo yang masuk ke ovo genap!!;Negative
Mantap... memudahkan transaksi apapun kirim uang belanja dll;Positive
Proposional dalam mengatasi segala bentuk pembayaran saya selama ini ....terima kasih atas aplikasi ovo dan aprisiasi setinggi saya....atas segala bentuk bantuannya;Positive
sAya ganti ulasan sy tolong perbaiki kenapa sy mau ngirim gagal terus eror terus gimana sy mau transfer jadi ga bisa tolong perbaiki jangan bikin jengkel dan kecewa;Negative
Aplikasi lelet, beli pulsa udah sejam aja muter-muter. Perbaiki itu sistem;Negative
Trima kasih sudah membalas dan melaksanakan permintaan saya,, buat kedepannya bisa di bikin lebih gampang atau paling engga di cepetin aja verivikasi upgrade nya .;Neutral
Makin kesini apk ngga jelas!!! Kalau memang ada kendala paling engga informasikan di apknya, ini transfer dari pagi sampe sekarang belum ada masuk,dana juga belum dikembalikan,harus nunggu paling lambat 2hari, parahh!!!!;Negative
Bagus ni ovo karena untuk pembayaran item game saya pembayaran berhasil dan untuk transaksi nya juga cepat tapi ada ya kurang klo mau bayar misalnya saya beli kuota internet itu waktu nya cuma 59 detik jadi itu aja ulasan saya;Positive
Proses pembayaran pembelian pulsa data sangat cepat.;Positive
status transaksi berhasil kok pulsa gak masuk, udah habis waktu nunggu 30 menitan buat Telkomsel, masih suruh nunggu 1 hari buat ovo. hari ini di katanyain lagi nambah lagi suruh nunggu 3 hari, tujuannya biar konsumen sampe lupa kali, sampe gak minta ganti rugi kali. CS mengirimkan aplikasi berisikan Malware yg katanya untuk perbaikan. MENGECEWAKAN! BANGET;Negative
Sudah lama saya menggunakan aplikasi ini, biasanya baik-baik saja, tetapi akhir2 ini terlalu lama loading ketika log in aplikasi. Setiap klik fitur loading ya lama banget! Padahal jaringan stabil. Setelah mengosongkan saldo, Mungkin saya akan unistal aplikasi nya! Sebelum terjadi hal2 yang tidak diinginkan.;Negative
Mentransfer dari pukul 09.15,sekarang sudah pukul 10.20 masih belum masuk,bagaimana nih makin kesini aplikasinya semakin pusing aja..;Negative
Cepat dan mudah dalam transaksi non tunai;Positive
Bahaya nih aplikasi jangan taro uang banyak2 , transfer ke bca malah hilang dananya tidak ada di history , chat ke cs di putar2 pertanyaaannya;Negative
Mempersulit upgrade premier,sudah di isi asli malah ga bisa upgrade.minta bantuan mempersulit juga harus ini dan itu tidak ada solusi lain kah selain harus mengikuti instruksi.ribet banget ovo ini bukannya di permudahkan malah bikin emosi orang.sudah di kirim satu-satu di harus ini dan itu.berkas sama dan asli pula cuma hanya kirim satu-satu.ovo paling ribet. Mending ga usah Download lah massa mau upgrade premier ribet banget tidak bisa kayak yang lain ada solusi lain selain mempermudahkanklien;Negative
Kasih 4 dulu, aplikasi nya bagus;Positive
Aplikasi ngentod pdhal kode security dari dulu ngga digantiÂ² kok bisa-bisanya ngga bisa login, mau ganti kode security juga ngga bisa, padahal katanya sinyalnya harus bagus, lahh ini udah full sampe pindah tempat ke yang sinyalnya bagus tetep aja ngga bisa ganti kode security, ini maunya gimana sihh?? Didalem masih ada saldonya lohh anjinggg, kalo gini ya mending pake apk yang sebelah aja sii ngentod emng.;Negative
Lebih mudah, memuaskan, waktu transfer lebih cepat. Terima kasih.;Positive
Tolong di update, beberapa kali saya jika ingin mengaksesnya, harus menggunakan wifi terlebih dahulu dan tidak bisa menggunakan jaringan data seluler saya, ini sudah sering terjadi. Aplikasiny loading terus jika menggunakan data seluler.;Negative
Aplikasi paling lelet kalo mau ngisi pulsa, org mau cepat, eh di tunggu ber jam-jam ga masukÂ²... Tidur yah admin nya;Negative
Mau ngirim ke sesama ovo aja sekarang udah gk bisa gagal terus, padahal akun udah primer, di reinstall udah limit harian juga masih banyak. Kenapa makin kesini makin gk jelas nih ovo, makin di update bukan nya makin bagus malah makin asuuuuu;Negative
Aplikasi gak jelas, mau transfer selalu gagal, akun sudah premium , percuma top up saldo kalau gak bisa di gunakan.. Aplikasi Cacat;Negative
Perbaiki transaksi nya, pastikan pembayaran belanja atau transaksi di luar aplikasi berhasil, agar kami tidak rugi;Negative
Wow,, saya ngak nyesal pakai apk ini, mudah bangat transaksinya,, kalau bintang bisa jadi 100, akan saya kasi bintang 100 buat ovo,,, trimakasi ovo;Positive
Loading loginnya lama banget dan sering gagal. Akhirnya saya pindah aplikasi ke DANA dari pada hati Gondok sama aplikasi OVO yg Aneh kaya gini.;Negative
Aplikasi lambat, padahal internet udah stabil;Negative
Lambat bangt woi,gua dri td pagi ditranfer ga masuk2,padahal dh terkirim buktinya juga ada,lola bangt transaksinya parah;Negative
aplikasi sangat membantu, saya kasi bintang 4 dulu;Positive
Tolong kenapa saya gak bisa login?baru juga isi 200k malah gak bisa login,udah ganti no ovo lainya juga sama aja,kalau bisa baru aku rubah bintangnya,udah dari 2016 aku pakai aplikasi gak pernah kayak gini,kecewa saya tolong kembalikan saldo saya;Negative
Mempermudah penggunaan transaksi,semoga selalu amanah dan sukses trs utk aplikasi OVO;Positive
Makin kesini kalo mau login lama banget acc password nya. Padahal sinyal ful Tolong dong di perbaikin kaya dulu. Login password langsung acc ke beranda;Negative
Tingkatkan terus kualitas transaksi dan keamanan untuk kenyamanan pengguna,, mantapp;Positive
aplikasi ini sangat membantu saya, terima kasih ovo;Positive
Kenapa saya masuk ga bisa trus.. malah di blokir apk nya. Saya masukan kode sudah bner. Tapi malah di blokir... Di dalamnya ada uang saya. Tolong di perbaiki dong mana tanggung jawabnya.;Negative
Kalian perbaiki sistem kalian ..dimna saat Orang lagi butuh transaksi jaringan kalian pun eror...;Negative
Baru download udh ke premium trs skrng mlah eror gmna deh.. Mau ambil uang jdi ga bisa.. Malesin bgt nih aplikasi;Negative
Lelet bgt sumpah padahal sinyal bagus,tolong di tingkatkan admin;Negative
sangat mudah di pakai dan sangat membantu;Positive
Aplikasi sulit banget verifikasi email gagal terus;Negative
Apasih bentar2 error bentar2 error! Niat ga sih? Mohon lah diperbaiki itu masak ngirim ke sesama ovo aja error terus sih!gimana sih hari2 eror pengiriman? Tolong lah;Negative
Sederhana dan gampang;Positive
Verifikasi upgrade ke premium aja lambat aplikasi gak guna banget,, saldo udah di transfer,, jangan mau download apk ovo;Negative
Mau daftar gak bisa bisa buat akun aja pun susah kali sudah berulang kali selama 2 bulan selalu gagal di gmail.;Negative
Sangat membantu Aku suka sekali bisa digunakan untuk pembayaran segala galanya. Tidak perlu membutuhkan keluar rumah;Positive
Aplikasi dompet digital yang praktis mudah di gunakan dan aman;Positive
setelah update Loading masuk jd lama bgt.. Sangat kecewa sekarang;Negative
Cepat bagus dan sangat mudah dalam penggunaan ovo;Positive
Aplikasi apaan gangguan terus. aplikasi aneh;Negative
Belum pernah ada e-wallet yang transaksinya semudah ini;Positive
Dari jam 3 sampai sekarang mau tranfer aj susah asik mutar2 aja lambat x ga masuk2 smpai skrang. Ga jls juga ni. Terpaksa lah pakai apk lain;Negative
stuck di loading screen kk,saat memasukan pin,saya tidak bisa login.;Negative
Oke mantap cara mengunakan aplikasinya sangat membantu untuk aku yg sering menggunakan jasa keuangan.;Positive
Untuk upgrade akun mendingan dana cepet dan mudah. Disinii tau lah yang ngalamin gagalnya setiap upgrade ke premier itu. Saya merasa tidak nyaman di aplikasi ini. Terimakasih semoga DIBACA!!!;Negative
Semakin sangat mudah dalam transaksi.;Positive
Tingkatkan trus untuk kepuasan peguna OVO.mudah dan cepat dlm bertransksi.;Positive
Praktis,banyak promonya;Positive
Susah bener mau upgrade, udah nyoba segala macam posisi buat fotoin KTP tetap gak bisa. Makan dah tu upgrade;Negative
Bagus sih bagus cuman pas di upgrade ke premium susah mulu ee, pada foto nya semua nya udah jelass gak ada yang burem atau kena pantulan cahaya. Jadi males mending ke Dana;Negative
Selama 4 tahun pakai OVO Belum pernah dpt kendala, BISA pakai buat bayar Apa aja, bagusnya ada aplikasi Buat UMKM jadi Ga perlu lagi pakai sistem kasir lain;Positive
Aplikasi nya Bagus Senang di mengertii dan cepat Penarikan.;Positive
Kecawa sekali dengan apk satu ini sudah transfer ber hari hari masih belum juga mendapakan perubahan transaksi selesai tetapi saldo belum juga diterima ,,SALDO HANGUS BEGITU SAJA DIJANJIKAN AKAN DI BANTU DAN DI PROSES NYATA NYA TIDAK ADA SAMA SEKALI PEMBODOHAN ONLINE. SALDO HANGUS BEGITU SAJA.;Negative
Cara transaksinya mudah. Promonya cukup banyak dan menarik. Good luck!;Positive
Kebanyakan upgrade... kebanyakan update... baru update seminggu udh ada notif update lagi... merepotkan saat urgent.;Negative
Saya mau upgrade ke premium Tapi kecamatan blimbing tidak ada;Neutral
aplikasi gak bertanggung jwb bos awas ini penipuan.ati2 saya ada bukti trnsperan terkirim sukses tapi gak ada dana yg masuk.suruh nunggu berhari2 gak ada kepastian;Negative
mudah dipakai, sangat membantu keperluan bayar;Positive
Lebih mudah dan cepat transaksi nya...;Positive
Kok gak bisa dibuka aplikasinya bangsat;Negative
Malah menyusahkan..kebanyakan trouble..lebih baik pindah yang lain..apalagi tiap potonganya malah 1500 sekarang...aplikasi anjing;Negative
Nyesal gw isi pulsa di aplikasi ovo ini...saldo sudah terpotong tapi pulsa belum masuk. Katanya dikembalikan saldo selama 24 jam, tp kenyataannya hampir mau 2 hari belum dikembalikan juga dan pulsanya juga belum nyampe.;Negative
Saya mau upgrade susahnya minta ampun tolong dong prosesnya jangan lama lama saya kasih bintang 1 dulu tapi kalo udah jadi premium saya ganti jadi bintang 5;Negative
Mudah dan cepat cara pengoperasiannya;Positive
akun ga bisa di buka,, daftar lagi pake no baru, ga bisa karena ktp sudh dipakai di no lama .. Ya alhasil ga perlu lagi pake aplikasi ovo , udah ga berguna aplikasinya;Negative
Bingung gua update mulu,, luar biasa juga ya setiap transaksi potongan update makan kuota luar biasa .....;Negative
Bintang 2 deh soalnya ovo suka susah di buka padahal udah di update dan jaringan nya bagus tapi tetep aja ga bisa di buka, tolong di perbaiki!;Negative
Parah loading seharian, sekarang malah ancur;Negative
Beresin dulu sistemnya kalau mau bikin promo cashback, udah belanja sesuai minimal di superindo nyatanya juga ga ada cashback. Promo yg menjebak!!!;Negative
OVO gak bisa digunakan buat Transfer, saya kira hp saya yg bermasalah, gak tau nya emang aplikasi nya bermasalah;Negative
Cepat gampang dan praktis;Positive
Transaksinya gak pake ribet, cepat,mudah;Positive
Semoga tambah bagus dan cepat untuk semua transaksi;Positive
Cepat transfer nya dikirim dan diterima... hitungan 1 detik.... kendala di biaya top up agar besar dibanding yang lainnya... untung tertutup dengan promonya....;Positive
Transfer uang gak bingung lagi mudah & cepat nyampe;Positive
Mantap mempermudah;Positive
Buat yg punya Aplikasi tolong yaa perbaiki sistem topup nya, masa tiap topup biaya admin nya potong nya dari saldo OVO bukan dari saldo rekening Bank nya. Suka kesel rasa nya pas topup biar ngepasin saldo malah kurang 1.000 mulu & harus topup ulang minimal 10.000. Kalo ngga tau apa mau nya pelanggan mending ngga usah bikin aplikasi, bukan nya jadi solusi, malah jadi masalah baruðŸ¤¬ðŸ¤¬;Negative
Parah setiap transaksi potong 1500 buka Nya ada gratis nya boros Gak usah pake aplikasi ini;Negative
untuk harga paket data beda dengan harga xl nya;Neutral
Transaksi di OVO gampang dan sangat mudah sekali. Saya merekomendasikan pada kalian untuk mendownload OVO;Positive
Aplikasi nya sih aman aja ya;Neutral
Kebanyakan erorr terus transaksi gagal terus.. Ga kayak yang lain cepat.. Awal nya coba akhir nya ga enak di pake..;Negative
setelah upgrade makin parah,log in ngga masuk2,lama amat,padahal sinyal bagus,sudah dibersihkan chace nya,makin kesini makin busuk,,padahal sy lagi perlu banget;Negative
tolong dong diperbaiki sistem transaksi, kalau memang proses transaksi tidak selesai dalam 5 menit langsung dibatalkan saja, jangan tunggu sampai 24 jam, ngotak dikit lah kasi waktunya;Negative
OVO tidak bisa login pakai kartu AXIS udah menghubungi provider terkait tetep sama aja, sedangkan kalau pakai kartu lain normal tanpa kendala, mohon di fix :(;Negative
setelah di perbaharui malah tidak dapat di gunakan buat transaksi, tranfer dan penarikan dana, hanya bisa membeli pulsa melalui apk tokopedia, tapi kalau melalui apk OVO tidak bisa sama sekali;Negative
Kebiasaan...saat beli pulsa pasti prosesnya lama...udah gitu harus nungguin 24 jam;Negative
Ovo sering banget lelet. Untuk pembelian pulsa sangat lah lambat. Pulsa tidak langsung terkirim. Tidak seperti merchant sebelah, sangat cepet.;Negative
Aplikasi ovo ini pembohong setelah AQ mendapatkan 1juta 500. Eh malah apk ini tidak dapat di buka . Setelah saya instal ulang apk ovo.lalu saya masukan no saya teryata tidak dapat di buka lagi. apk setan. jangan percaya dengan apk ini kalian kenak tipu semua.;Negative
Sangat membantu sekali..semoga kedepan nya lebih maju dan bermanfaat dan selalu memberikan kemudahan transaksi;Positive
"Akhir"" ini pembelian voucher grab sangat lama,gak kayak dulu lagi 10 detik selesai.kasih 3 star dulu";Neutral
Pemakaian masi enak. Dan dah di dukung juga pilihan isi saldo melalui alfamart maupun Indomaret. Pernah sebelumnya bisa isi saldo di alfamart trus stop ragara apa gitu, alhasil sekarang comeback. Sip lah, pertahankan.;Positive
dah de best lah,gampang kirim,bayar,tarik tunai macem lainnya;Positive
Sangat mudah dalam pembayaran;Positive
coba minimal transfernya jadi rp 1.000 pasti bayak yg pakai ovo.;Neutral
Sangat berguna sekali buat semua pembayaran;Positive
Saya suka sebenarnya sama aplikasi ovo. cuma mau kasih saran aja biaya admin nya di kurangin sendikit lah.;Positive
Baru pake aplikasi ini dan udah langsung ditipu. Ada kendala di apk, nanya cs, ternyata cs nya penipu haha. Konfirmasi sama pihak ovo, katanya itu dihitung sebagai transaksi yang sah. Capek banget­. Kapok sama ovo. Bintang 1 bahkan terlalu bagus buat ini app.;Negative
Kenapa ya kalau pakai bca one klik sering gagal.. sering tidak ada SMS masuk ke nomor yg sudah di daftarkan.;Neutral
sudah tiga kali transaksi sukses tapi tidak masuk saldonya, complain pun lama sekali penanganannya sampai satu minggu padahal cuman saldo sedikit, bukan masalah saldo nya tapi penangannya sangat minim, mohon diperbaiki kembali, dan sepertinya saya akan pindah pakai yg lain saja dompet digitalnya, kecewa.;Negative
Sangat membantu dalam pembayaran;Positive
Aplikasi yg mudah n praktis dalam bertransaksi...;Positive
Super cepat, gampang dan akurat;Positive
Ovo sekarang sudah tidak bagus, saya sudah ngajuin ganti nomer+email gabisa smpe skrng tidak di konfirmasi padahal sudah premium, alasan saya gannti nomer+email karna hp hilang.;Negative
"Aplikasi gak jelas. Masa beli pulsa/paket Data udah 2 hari gk bisa"" padahal jaringan bagus,,";Negative
Transaksi sangat mudah, cepat dan aman.;Positive
Ini aplikasi gmn si.. Setelah di update mala susah masuk Sandi benar dibilang salah terus;Negative
Mudah dan cukup membantu;Positive
Parah.... Kemarin2 belum ugrade bisa transfer... Sekarang udah ga bisa lagi... Ga bisa buat bisnis...;Negative
Pas ada error' slow respon+suka tiba tiba ada aja errornya. Chat ke admin nya ada solusi tapi ga berguna. Pindah ke Dana kalo gini terus;Negative
"Aplikasi tolol login tidak bisa keterangan akses mencurigakan,kode otp masuk lewat sms/whatsapp,kode pin benar,bener"" tolol nih aplikasi lama"" ga beres";Negative
Wah , parah banget. Mau transfer, minta buat ngirim KTP. sudah di upload, katanya NIK Sudah pernah dipakai. Jadi gimana kalau akun yang satu gak kepakai lagi? Mau pake akun baru, dengan Nik yang sama apa gak bisa? Padahal uda terlanjur top up ovo.Jadi duit yang di ovo ga bisa di transfer. Padahal butuh banget. Tolong ya kebijakannya di perbaiki lagi. Kasian duit di ovo, gak bisa saya pakai.;Negative
Tidak bisa masuk akun, verifikasi email gagal trs Tolong perbaiki!!;Negative
Jelek pelayanan nya. JANGAN DI DOWNLOAD DAN PAKAI APK INI;Negative
Layanan ya cepat,terimakasih;Positive
Susah buat upgrade;Negative
aplikasi nya aneh dan lambat, ingin transfer cepat harus upgrade ke versi premium nya dulu, dan membutuhkan waktu yang tak pas ti kapan jadinya. kalau gitu harusnya langsung dari awal aja pas mau daftar aplikasi mau narik saldo nya juga jadi ribet, Dan opsi aplikasi untuk berbayar yang umum digunakan tidak ada contohnya gojek. Aplikasi yang sama sekali tidak direkomendasikan untuk orang yang baru download dan butuh transaksi yang cepat;Negative
Bigung ovo update Premium gak bisa gara2 ganti hp ganti nomor telepon kerena hilang, padahal data yang baru ya tetap data saya sama ktp lama saya tiba gak bisa para2;Negative
Setelah membaca dari sekian banyak komentar pengguna, ternyata hampir 99,99% TERAMAT SANGAT TIDAK PUAS SAMA SEKALI dengan pelayanan & juga kinerja aplikasi ini, padahal niat mau download. Kalau dah tau begini mending cari yg lain aja;Negative
transaksi berhasil tapi dana belum di terima no tujuan gimana si,,,padahal saldo sudah berkurang;Negative
Untuk topup saldo Indriver Cepat dan tanpa biaya;Positive
Sangat mudah pakai ovo ... Bisa membantu semuanya pokoknya oke lah;Positive
Gak seperti dana, bayar, ngirim dan top Up gratis, kalo ini Top Up z harus bayar admin. Tapi ya butuh juga,, jadi aku kasih bintang nya gak 5. Cobalah mengerti saja. Kalau nanti bisa gratis baru aku kasih bintang terbaik, kaya dana;Neutral
Payah kalau lagi gangguan loading mulu.... kurang bagus;Negative
login 30 menit cuma loading aja. gabisa masuk;Negative
Saya kok ga bisa daftar ya? Tiap kali ke step masukin email selalu gagal. Udah bikin email baru juga sama aja ga bisa terdaftar.;Negative
Makin kesini makin aneh untuk masuk ovonya, sinyal saya tidak ada masalah sama sekali padahal;Negative
kalau transaksi pulsa..nunggu pulsa masuk ke nomor sangat lama. Bukan sekali atau dua kali tapi ini udah sering..mohon diperbiki!.;Negative
Aplikasi yang sangat memudahkan untuk pembayaran dan transksi lainnya;Positive
Kenapa gak bisa transfer .. padahal saya sangat butuh banget . Tolong dong di perbaiki;Negative
saya mau transfer ke tempat lain dan harus upgrade ke premier dulu. tapi ketika di upgrade ke premier bilangnya identitas biometrik ga sesuai, wajah saya ga sesuai sama yang di ktp padahal itu foto wajah dan ktp saya sendiri. saya udah coba lagi sampe 3Ã— tapi sama aja. gimana sih ovo;Negative
Udah masukin nomor, tapi blm dapet kiriman SMS buat kode 4 digit nya, udah coba berkali kali tapi ga ada hasil nya, ini gimana sih mana saldo ku masih ada ya lumayan sih;Negative
Isi listrik tapi token gk muncul dan saldo ke potong di history juga gk ada , lambat banget ini app;Negative
History hanya memuat keluar masuk uang, jika gagal melakukan top up merchant dan saldo terpotong tidak ada solusi agar uang kita bisa kembali, parah..;Negative
Saya melakukan perubahan nomor hp lama ke nomor hp baru tp setelah dirubah disruh memasukan code security yg dikirim ke nomor hp baru anehnya itu code gak dikirimkan gimana saya bisa melakukan perubahan nomor kalau gitu caranya . Laporan bolak balik ke cs tetap saja gak bisa mengatasi masalah...jadi bingung saya sama aplikasi ini;Negative
Top up bermasalah padahal sudah sukses di Indomaret seharusnya GK ad masalah.. Kalo ada gangguan kenapa top up sukses tolong di perbaiki kasian uang yang di top up sangat di perlukan;Negative
Kenapa mau daftar berasa susah,udah bbrpa kali di blok sementara padahal nomor udah bener pas ada sms gk ada kode verifikasinya aneh betul ni apps;Negative
"Kalau isi pulsa lebih dari 10rb,misal 30rb muter"" lemot masuknya";Negative
Aplikasi terburuk....proses gagal, dan parahnya lagi proses terlalu lama...;Negative
Aplikasi ini sangat bagus dna membantu sekali untuk mempermudah pembayaran;Positive
Pembelian token listrik PLN menggunakan aplikasi sampah ini sangat lama, duit sudah kepotong,lagi urgent karena listrik habis,sejam baru di kasih kode token, itu pun udh puluhan kali refresh;Negative
Tolong dari pihak developer diperbaiki untuk masalah transaksi. Karena setelah saya perbarui bukanya semakin baik tetapi malah kemunduran. Setelah sistem lebih baik saya akan rubah rate bintang ini. Terimakasih.;Neutral
Jaringan bagus... tapi transaksi tidak bisa. Gagal teruss ... Tolong di tingkatkan kualitas dan pelayanan nya;Negative
Apk parah banget berat ga bisa di bukak, bantuan wifi baru bisa kebukak;Negative
Kaga bisa login, padahal sudah update yg di sarankan kecewa apk ga berguna;Negative
Pindah aja ke gopay,, ovo lemot isi ulang pulsa lama,, Ovo tidak bisa transfer ke Rekening Ponsel CIMB NIAGA dengan notif No Rekening tidak ditemukan, padahal sebelumnya bisa (masih ada di histori) dan Rekpon CIMB NIAGA saya tidak ada masalah, sangat mengecewakan.. Sementara chat pusat bantuan tidak di respon sama sekali;Negative
Sangat buruk beli pulsa saja lama banget masuknya hampir 30 menit belum masuk kalo kayak gini mending gak usah adain fitur beli pulsa kalo masih lelet gini. aplikasi terburuk;Negative
Udah 2x top up tapi ga bulat nilainya. Saya topup 100.000 yg masuk cuma 98.510;Negative
Kok upgrade nya susah ya, lebih mending dana, saya sudah isi saldo tapi belum upgrade pas mau upgrade ternyata lebih rumit dari dana, mana uangnya mau dipakai lagi;Negative
Saya pengguna lama aplikasi ovo,sering transfer ke bank;Neutral
Kenapa upgrade ke premier selalu gagal padahal data udah lengkap semua;Negative
Sangat membantu dalam bertransaksi.. Simpel penggunaan nya;Positive
Mau transfer,mau beli pulsa apa apa lemot banget kadan gangguan waktu transaksi, gimana sih ovo ini. Kualitas rendah sekali;Negative
Bagus, mudah dan cepat.. 4 dulu,, kalo udah nyaman 5;Positive
ribet amat ni apk.. ga kaya yg sbelah.. upgrade akun ke premium aja proses nya lama;Negative
Buka ovo susah banget kalo pake jaringan seluler padahal jaringan setabil buka gopay, shopeepay, grab aja lancar ini aplikasi ovo ribet banget padahal mau buat transaksi. Kalo pake wifi baru bisa kebuka ðŸ¤¦ðŸ¤¦;Negative
Ga bisa login,nyangkut uang disana. Pake otp biar gampang;Negative
Tidak bisa membeli paket kuota, Tolong di perbaiki segera dan secepat nya.;Negative
Aplikasi lemot, transaksi lama. Aplikasi Maruk, mau isi ulang lewat m banking udh kena biaya tambahan. Pas masuk ke nomor ovo kepotong lagi. Contoh noh Dana, isi 20.000 ya bayar 20.000. Dan saldo yg masuk 20.000;Negative
Masuknya ribet kudu ini itu, giliran udah bisa masuk terus keluar mau masuk lg suruh masukin security code udah tak masukin ehh katanya security code yg anda masukan salah. Padah jelas2 itu kodenya bahkan udah tak save di contak saya.. Aplikasi ngga jelas gini sih.. Perasaan di aplikasi yg sebelah ngga gini2 amat ribetnya;Negative
Sangat suka awalnya.. Knp skrg gk bs masuk Ad apakah ini,ganggun sementara kah. Mohon perbaikannya. Soalnya menyangkut keperluan sehari hari..;Negative
Susah masuk nya tolong ditingkatkan lg untuk bisa login kedalam aplikasinya;Negative
